,video_id,comments
20,6apPVWaLdfU,"['🤚fover blackpink', 'We are biggest fans on blackpink we love you blackpink💗💗💗💗🖤🖤🖤🖤🖤', ""Can Black Pink come to Iraq even once? We can't go outside the country. I hope they read the words. I'm Blink from Iraq. Please, please. I hope you come to Iraq. 😭🖤💗✨"", 'Black pink please come to India in Bangalore 🙏🙏', 'I loved watching them grow, keep conquering the whole world, I will always love them.', 'Blu Ray Disc Trailer', 'I can understand that you are saying this is the most nice song 🎵 🎉❤❤❤❤', 'How about in phillippines', 'Comeback in manila please 😢😢', 'Always support 🖐🏻']"
21,aXFYl36d_es,"['Jennie ♥️🇰🇷🇰🇷', '🎉❤❤', 'em yeu blackpick', ""They have ma y fanz (blincks) here in Bogotá, please come, l want to go to born pink and meet my idols and leave with the card that l have signed for them from jenie jisoo rose and lisa, it's not an ovsecion haga. They just see incredible 🥴🤯to me ❤️❤️"", 'Pengemar favorit ku rose ❤', 'OKAY KNOW AM SO UNLUCKY I WAS IN LAS VEGAS AND THEY HAD IT IN LA NOOOO I LUV U BP😔😔😔😔😔😔😔🥹😔🥹🥹😔😔', 'Lisa❤  jennie❤   jisoo❤  rose❤', '우리는 당신이 터키에 오기를 정말로 원합니다 ❤', 'Blackpink pls in italy😢❤', ""❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ı'm turksh sizi çooooooooook seviyorum lütfen cevap verin TURKIYE'yede gelin lütfen""]"
22,nfjBdDET_xY,"['Hello po love you 🤟🤟🤟🤟', 'Hello Blinks, please come to stream to Gone and OTG. Views are very slow, we want to make Gone 300M before February 11th. Please stop by Gone and Otg. Thanks in advance.', '💜💜💜💜', 'Hi blackpiuk', 'Чё', 'Hi. Idk', 'Hi blackpink I am india', 'I love you Lisa Jennie rose jisoo you look like Korean princess 🖤❤️🖤❤️', 'Hi jisoo', 'Hi iam Sumaiya Fasna 🎉❤i. Love. Black pink iam. Your big. Fan']"
23,L-Gx8ry3i20,"['I love you i love Lisa my favorite 🥰😄😃😀😄😃😀😁😁☺️', '\u200f블랙핑크, 이라크에 올 수 있을까? 저희가 콘서트를 보러 국외로 나갈 수 없어서 단 한 번이라도 저희를 위해 무엇이든 해주세요. 저는 블링크이고 이라크에서 온 아랍 소녀입니다. 앞으로도 응원하겠습니다.블랙핑크가 이라크에 오고 싶다는 내 말에 동의하는 사람 💗🖤😭✨', '블랙핑크는 이라크에 한 번이라도 올 수 있을까? 우리는 행사에 참석하기 위해 해외로 나갈 수 없습니다. 제 댓글을 읽어주셨으면 좋겠습니다. 저는 이라크에서 온 블링크이고, 여자입니다. 영원히 응원할게요 블링크. 😭🖤💗✨이라크에서 파티를 열어주세요 😭✨', 'Estelamaria', 'Blackpink', '1', 'İlove chaesoo🫶🏻🫶🏻🤧🤧❤️\u200d🔥💗💍', 'Please 🥺🙏 comeing in India 🇮🇳', '💕❤️💕', '❤❤']"
24,WOjUGPV_zSI,"['Bornpink❤❤❤❤❤', 'Blackpink India ❤️💚💛💝💖🤍🤎💕🖤💗🖤', 'BLACKPINK And YG where is turkey?😭😭', 'Türkish', 'BLACKPINK, TURKHIS IS YOURS CONCERT???', '🖤\U0001fa77', '❤', 'Osm😊😊❤❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤🎉🎉🎉🎉', '🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😊', 'Hercules Bruce hoodie Nebraska']"
25,TL5dFyAuUKU,"['Hı my name is turkey bride my turkhis  my iş Elif my bilnk', ""I am boy\nNever looked at girl's body by dirty mind and supported them.\nI have only looked at the talent and it cannot be found in BTS."", 'Hace falta una gira en los demas paises de latam 🥹\U0001fa77✨', '😇😍😇', 'I love you so much nini, jichu, rosehhh, lisaeoooo❤', ""Please pin❤❤❤❤\nI'm a Big fan💞💞"", 'Who likes Jisoo raise your ✋', 'Blackpink at concert finalle', 'Who will support Blackpink forever? 💗🤏🏻', 'Blackpink members will not come in india']"
26,nvxDmoMcCik,"['❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'o Brasil te amo oo te amo', 'You look so pretty', 'Лиса лучшая ❤', 'Lisa I am your biggest fan. Please tell me how you are doing. YOU ARE THE BEST K POP IDOL❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Lisaaaa ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', '🤩🤩', 'Chị  lisa ❤', '111111111111111111111', 'I am Türkiye']"
27,0bVu--VXpJc,"['Feeling alive', 'Always my favorite', 'I care for you', 'o Brasil te amo oo te amo❤❤🇧🇷🇧🇷', 'I love you roseeeeee your my bias and ı m more love you,you are so cute and cool. ı love yo roseeee❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Pose🖤💗', 'Lisa🖤💗', 'Rose❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', '🎉❤❤', 'April']"
28,CXI8jZTM_tY,"['3 and 4', 'o Brasil te amo oo te amo❤❤🇧🇷', 'I love Black Pink I Blink and love Jenny and jisoo', 'Jennie\n🖤💗', 'Jennie biasım ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', '😉❤', 'Jennie ❤', '3333333333333', '💖', 'Ohhhhh so cute ❤❤']"
29,cSqOY5nktfg,"['Best song ever', 'Why blackpinks dance in nowhere.Everywhere only virtual.', 'I LOVE THIS SONG!!!', '199k go blinks', 'Now 801', 'Stream Solo by Jennie !! Lets hit 1B there', 'Lisa  lisa  lisa  lisa  lisa  lisa   lisa   lisa  lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa \n\n\nLisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa lisa ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤\n\n❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'BLACKPINK - 100%\r\nSONG - 100%\r\nM/V - 100%\r\nTHE GAME - 100%\r\nVISUAL - 100%\r\nVOCAL - 100%\r\nQUEENS - 100%\r\nINSTRUMENTAL - 100%\r\nBEAUTIFUL - 100%\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nSLAY - 100%\nWe love you Queens! Keep it up!', 'I lOvE BlAcKpInK', 'The best i love the rap']"
